date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:29	238776/238776	---M-Z	200	added ('OK')	text/html	etag:%222e87da1-3a4b8-5dbe44ba9d100-gzip%22	https://themes.pixelstrap.com/voxo/front-end/index.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/index.html	(from )
22:20:29	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
22:20:30	997/997	---M--	200	added ('OK')	application/json	etag:%222e87e83-3e5-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/manifest.json	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/manifest.json	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:30	1155/1155	---M--	200	added ('OK')	image/png	etag:%222e87be7-483-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/favicon/2.png	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/favicon/2.png	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:31	1429116/1429116	---M--	200	added ('OK')	text/css	etag:%222e87ebb-15ce7c-5de3f83acd040%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/bootstrap.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:31	458081/458081	---M--	200	added ('OK')	text/css	etag:%222e864a9-6fd61-5de3f83bc1280%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/font-awesome.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:31	12515/12515	---M--	200	added ('OK')	text/css	etag:%222e864a8-30e3-5de3f83bc1280%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/feather-icon.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/feather-icon.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:31	204806/204806	---M--	200	added ('OK')	text/css	etag:%222e8649a-32006-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/animate.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/animate.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:31	7501/7501	---M--	200	added ('OK')	text/css	etag:%222e877f8-1d4d-5de3f83cb54c0%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:32	14273/14273	---M--	200	added ('OK')	text/css	etag:%222e877f9-37c1-5de3f83cb54c0%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick-theme.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/vendors/slick/slick-theme.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:32	7881/7881	---M--	200	added ('OK')	image/svg+xml	etag:%222e87e80-1ec9-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/svg/icons.svg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/svg/icons.svg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:32	994/994	---M--	200	added ('OK')	image/png	etag:%222e87d05-3e2-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/logo.png	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/logo.png	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:33	217117/217117	---M-Z	200	added ('OK')	text/html	etag:%222e87e9f-3501d-5de3e6be40ec0-gzip%22	https://themes.pixelstrap.com/voxo/front-end/shop-left-sidebar.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/shop-left-sidebar.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:33	19861/19861	---M--	200	added ('OK')	image/jpeg	etag:%222e87b90-4d95-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/electronics/banner/4.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/electronics/banner/4.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:33	2007021/2007021	---M--	200	added ('OK')	text/css	etag:%222e85645-1e9fed-5de3f8332be40%22	https://themes.pixelstrap.com/voxo/front-end/assets/css/demo2.css	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/css/demo2.css	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:33	38773/38773	---M--	200	added ('OK')	image/jpeg	etag:%222e92919-9775-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/banner/1.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/banner/1.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:34	182680/182680	---M--	200	added ('OK')	image/jpeg	etag:%222e9291b-2c998-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/fashion.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/fashion.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:34	204034/204034	---M-Z	200	added ('OK')	text/html	etag:%222e87d9a-31d02-5db55a9619100-gzip%22	https://themes.pixelstrap.com/voxo/front-end/flower-demo.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/flower-demo.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:34	222365/222365	---M--	200	added ('OK')	image/jpeg	etag:%222e9291c-3649d-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/flower.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/flower.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:34	428274/428274	---M-Z	200	added ('OK')	text/html	etag:%222e87da0-688f2-5db55a9619100-gzip%22	https://themes.pixelstrap.com/voxo/front-end/furniture-demo.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/furniture-demo.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:35	167370/167370	---M--	200	added ('OK')	image/jpeg	etag:%222e9291d-28dca-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/furniture.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/furniture.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:35	340795/340795	---M-Z	200	added ('OK')	text/html	etag:%222e87d90-5333b-5db55a9619100-gzip%22	https://themes.pixelstrap.com/voxo/front-end/electronic-demo.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/electronic-demo.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:35	208447/208447	---M-Z	200	added ('OK')	text/html	etag:%222e87e9b-32e3f-5de3e6c2117c0-gzip%22	https://themes.pixelstrap.com/voxo/front-end/shoes-demo.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/shoes-demo.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:35	118748/118748	---M--	200	added ('OK')	image/jpeg	etag:%222e9291a-1cfdc-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/electonic.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/electonic.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:35	157193/157193	---M--	200	added ('OK')	image/jpeg	etag:%222e9291e-26609-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/shoes.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/shoes.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:36	204894/204894	---M-Z	200	added ('OK')	text/html	etag:%222e87ea8-3205e-5de3ded96af00-gzip%22	https://themes.pixelstrap.com/voxo/front-end/vegetables-demo.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/vegetables-demo.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:36	206418/206418	---M-Z	200	added ('OK')	text/html	etag:%222e87e9c-32652-5de3e6c029340-gzip%22	https://themes.pixelstrap.com/voxo/front-end/shop-canvas-filter.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/shop-canvas-filter.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:36	210050/210050	---M--	200	added ('OK')	image/jpeg	etag:%222e9291f-33482-5db55a9619100%22	https://themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/vagetables.jpg	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/assets/images/demo-image/vagetables.jpg	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:36	214962/214962	---M-Z	200	added ('OK')	text/html	etag:%222e87e9d-347b2-5de3e6bf35100-gzip%22	https://themes.pixelstrap.com/voxo/front-end/shop-category-slider.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/shop-category-slider.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
22:20:37	210239/210239	---M-Z	200	added ('OK')	text/html	etag:%222e87e9e-3353f-5de3e6bf35100-gzip%22	https://themes.pixelstrap.com/voxo/front-end/shop-filter-hide.html	F:/MyWebSite/piel/themes.pixelstrap.com/voxo/front-end/shop-filter-hide.html	(from https://themes.pixelstrap.com/voxo/front-end/index.html)
