date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:55	57370/57370	---M-Z	200	added ('OK')	text/html	etag:%222480a1d-e01a-5db55a9524ec0-gzip%22	https://themes.pixelstrap.com/voxo/back-end/index.html	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/index.html	(from )
22:24:55	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
22:24:55	1155/1155	---M--	200	added ('OK')	image/png	etag:%222e87579-483-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/images/favicon.png	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/images/favicon.png	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:55	9149/9149	---M--	200	added ('OK')	text/css	etag:%2224c01ee-23bd-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/linearicon.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/linearicon.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:56	79039/79039	---M--	200	added ('OK')	text/css	etag:%2224c061a-134bf-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/vendors/font-awesome.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:56	17591/17591	---M--	200	added ('OK')	text/css	etag:%2224c48d0-44b7-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/vendors/themify.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/vendors/themify.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:56	1228/1228	---M--	200	added ('OK')	text/css	etag:%2224c01f6-4cc-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/ratio.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/ratio.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:57	2307/2307	---M--	200	added ('OK')	text/css	etag:%2224c04b7-903-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/vendors/feather-icon.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/vendors/feather-icon.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:57	3589/3589	---M--	200	added ('OK')	text/css	etag:%2224c23c0-e05-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/vendors/scrollbar.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/vendors/scrollbar.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
22:24:57	68199/68199	---M--	200	added ('OK')	text/css	etag:%2224c0253-10a67-5db55a9524ec0%22	https://themes.pixelstrap.com/voxo/back-end/assets/css/vendors/animate.css	F:/MyWebSite/pielback/themes.pixelstrap.com/voxo/back-end/assets/css/vendors/animate.css	(from https://themes.pixelstrap.com/voxo/back-end/index.html)
